xdata,ydata
-3.0,-0.5071172569573517
-2.99,-0.5894287840112155
-2.98,-0.7406393202352415
-2.97,-0.8374403520522122
-2.96,-0.8956375087120859
-2.95,-0.9757719288125272
-2.94,-0.9942465439002595
-2.93,-0.9931743380805629
-2.92,-1.0348000386553895
-2.91,-0.9597832688246442
-2.9,-0.8936228711847453
-2.89,-0.7615506064653953
-2.88,-0.6808158562785268
-2.87,-0.5415542491819152
-2.86,-0.4046878985609978
-2.85,-0.29463594904196677
-2.84,-0.14257186457452609
-2.83,0.0474479221931196
-2.82,0.2164321619402318
-2.81,0.3614007311770931
-2.8,0.4658718383738809
-2.79,0.6476890284675448
-2.78,0.6890544380707814
-2.77,0.8585040014644255
-2.76,0.895837187900616
-2.75,0.9658719182810059
-2.74,1.0032583847585277
-2.73,1.0333684941067909
-2.72,0.972604600413225
-2.71,0.9191334284803838
-2.7,0.8600845830790327
-2.69,0.7843938979770694
-2.68,0.6723385352568849
-2.67,0.5602077102436352
-2.66,0.4183854191703175
-2.65,0.3084447029054427
-2.64,0.12560823080662828
-2.63,-0.030891608105762466
-2.62,-0.20141994330260543
-2.61,-0.3175517150351912
-2.6,-0.49458828707530994
-2.59,-0.5833616028646161
-2.58,-0.7118028223319335
-2.57,-0.8210990037117002
-2.56,-0.9019544020277789
-2.55,-0.9708976968398356
-2.54,-0.975403499020574
-2.53,-0.9872752038816092
-2.52,-1.0232613497246006
-2.51,-0.9396913346602728
-2.5,-0.8883320126464767
-2.49,-0.7781400085805068
-2.48,-0.7007797681841974
-2.47,-0.5673625946963946
-2.46,-0.39428027489889494
-2.45,-0.2800190107614657
-2.44,-0.1282613957976024
-2.43,0.032664720518364825
-2.42,0.1810633732112628
-2.41,0.3528871456963013
-2.4,0.46993011361743786
-2.39,0.6589071778876949
-2.38,0.6958262518088216
-2.37,0.8347775678321875
-2.36,0.8996205929523203
-2.35,0.928508988877059
-2.34,0.9905331164151348
-2.33,0.9859502834825898
-2.32,0.9540315337826389
-2.31,0.916078534925641
-2.3,0.8753541819429949
-2.29,0.7910564882929367
-2.28,0.6729751816128391
-2.27,0.5598799251033101
-2.26,0.38620947160015373
-2.25,0.26917110095344465
-2.24,0.14694535918819088
-2.23,0.003825632158950168
-2.22,-0.21620450121877594
-2.21,-0.3214903106723067
-2.2,-0.449497443959732
-2.19,-0.6154681359174489
-2.18,-0.7456259707711601
-2.17,-0.8329140332695705
-2.16,-0.8876058723566645
-2.15,-0.951906976699186
-2.14,-0.9973289993369908
-2.13,-0.979269872953433
-2.12,-0.9384693182571485
-2.11,-0.9415918409520249
-2.1,-0.9174735062093944
-2.09,-0.8046429922417646
-2.08,-0.6807946915597303
-2.07,-0.5472998950793594
-2.06,-0.3763110850539708
-2.05,-0.2753850235101117
-2.04,-0.13741543442007229
-2.03,0.021360545454901996
-2.02,0.18566913065876153
-2.01,0.35467336332134153
-2.0,0.47158459855044926
-1.99,0.6032091157154125
-1.98,0.7312885220457159
-1.97,0.8184962504213289
-1.96,0.9292062850841185
-1.95,0.9540488123999186
-1.94,0.9614499493545708
-1.93,1.026213162852962
-1.92,0.9595733147009103
-1.91,0.9358546906786699
-1.9,0.8912064947480713
-1.89,0.8249035526750998
-1.88,0.6653385650828982
-1.87,0.6030670818017253
-1.86,0.41556001622521843
-1.85,0.2619693647004907
-1.84,0.12807548162000035
-1.83,-0.03923638438568561
-1.82,-0.16446898881907746
-1.81,-0.3564225568417192
-1.8,-0.4743055582620155
-1.79,-0.6185055995164048
-1.78,-0.7141786735008286
-1.77,-0.8193495083746359
-1.76,-0.9116708389186636
-1.75,-0.9445651033798225
-1.74,-1.0257658079623815
-1.73,-1.0196779482956964
-1.72,-1.013185537553762
-1.71,-0.9482647528933704
-1.7,-0.8425221672757325
-1.69,-0.7948680330167077
-1.68,-0.6940569436127838
-1.67,-0.5583920049602357
-1.66,-0.38269962157710447
-1.65,-0.2974519345474334
-1.64,-0.1260533333273921
-1.63,0.029031102696070243
-1.62,0.18774158347932435
-1.61,0.3329466615078992
-1.6,0.4724089744612052
-1.59,0.6476115759744594
-1.58,0.7264335552231321
-1.57,0.8428216721732543
-1.56,0.8746362642883547
-1.55,0.963687676544923
-1.54,0.9905494092960497
-1.53,1.0109161118115573
-1.52,0.9700837737459636
-1.51,0.9635522710856083
-1.5,0.8767769112903983
-1.49,0.8021248570550732
-1.48,0.6987575541714782
-1.47,0.5592061734568753
-1.46,0.41989056982160183
-1.45,0.30594146233100405
-1.44,0.0893576022863367
-1.43,-0.04488547045443512
-1.42,-0.1967152417964504
-1.41,-0.35342179102894106
-1.4,-0.49618823245392507
-1.39,-0.5862259920687364
-1.38,-0.7183334134223418
-1.37,-0.8177286067593013
-1.36,-0.8403595209712487
-1.35,-0.9278213715975003
-1.34,-1.036641638598529
-1.33,-1.0149472472572205
-1.32,-0.9984497838501333
-1.31,-0.947703742621492
-1.3,-0.8887773323990015
-1.29,-0.7883788287595518
-1.28,-0.7196381888084458
-1.27,-0.5391857966744596
-1.26,-0.45156528162297144
-1.25,-0.2893410000288364
-1.24,-0.13101199782486106
-1.23,0.022026826710815545
-1.22,0.16353416984870753
-1.21,0.3474381821105551
-1.2,0.500011563334375
-1.19,0.6328678938659328
-1.18,0.7634221808807621
-1.17,0.8199519829947426
-1.16,0.9369257214783471
-1.15,0.9698212331055319
-1.14,0.947313665313587
-1.13,1.0064095300313622
-1.12,0.9957229826704388
-1.11,0.9517472404852941
-1.1,0.8742092199316653
-1.09,0.7853284633663808
-1.08,0.7060120103618281
-1.07,0.5522288374714088
-1.06,0.43682931137535336
-1.05,0.2989320026865452
-1.04,0.1321151857496983
-1.03,-0.02833017475473203
-1.02,-0.17302264270838957
-1.01,-0.3294941455043703
-1.0,-0.44351332098579394
-0.99,-0.6469574934030567
-0.98,-0.698851463843577
-0.97,-0.8267029893174479
-0.96,-0.8943516750635353
-0.95,-0.9540176520041093
-0.94,-1.007727885328484
-0.93,-0.9931521486915705
-0.92,-0.969286357520601
-0.91,-0.9466029840256045
-0.9,-0.8448052785981244
-0.89,-0.8078278748267511
-0.88,-0.7327695993381482
-0.87,-0.5625172385101332
-0.86,-0.45747860610559743
-0.85,-0.27588804321170723
-0.84,-0.11600906217479356
-0.83,0.025960950781153718
-0.82,0.17454525827830095
-0.81,0.3292147770639245
-0.8,0.4688944114229534
-0.79,0.6025412031564789
