xdata,ydata
0.0,6.193274031670026e-6
0.05,-0.006933256855191791
0.1,-0.013793416340386966
0.15,-0.020139566083147084
0.2,-0.02592585842298292
0.25,-0.0314219557421773
0.3,-0.035695173683070854
0.35,-0.03919257035712028
0.4,-0.04216293620929979
0.45,-0.04365907025456364
0.5,-0.043980592723136556
0.55,-0.0435354637548562
0.6,-0.0418571567040539
0.65,-0.039278369830890204
0.7,-0.035606695233852036
0.75,-0.03141672660297643
0.8,-0.025937235385701408
0.85,-0.019989591029609125
0.9,-0.013792253703661665
0.95,-0.006914322558068647
1.0,-3.915200830436959e-5
